name,category,price,image_url
Pizza 4 Quesos Al Uso Nostro,almacen,13000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pizza-4-quesos-al-uso-nostro.webp
Pizza Cebolla Al Uso Nostro,almacen,12000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pizza-cebolla-al-uso-nostro.webp
Pizza Comun Al Uso Nostro,almacen,12000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pizza-comun-al-uso-nostro.webp
Pizza Especial Al Uso Nosto,almacen,13000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pizza-especial-al-uso-nosto.webp
Pizza Napolitana Al Uso Nostro,almacen,12000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pizza-napolitana-al-uso-nostro.webp
Playadito X500gr,almacen,2600,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/playadito-x500gr.webp
Postrecito,almacen,5500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/postrecito.webp
Prime,almacen,3500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/prime.webp
Pure De Tomate Arcor X520 Gr,almacen,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/pure-de-tomate-arcor-x520-gr.webp
Salsa Arcor Filetto X340 Gr,almacen,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/salsa-arcor-filetto-x340-gr.webp
Salsa Arcor Pizza X340 Gr,almacen,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/salsa-arcor-pizza-x340-gr.webp
Salsa Arcor Pomarola X340 Gr,almacen,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/salsa-arcor-pomarola-x340-gr.webp
Salsa Arcor Portuguesa X340 Gr,almacen,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/salsa-arcor-portuguesa-x340-gr.webp
Salsa Arcor Tuco X340 Gr,almacen,1800,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/salsa-arcor-tuco-x340-gr.webp
Sandwich Milanesa,almacen,7000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/sandwich-milanesa.webp
Sandwich Toma Jamon Cocido,almacen,6000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/sandwich-toma-jamon-cocido.webp
Sandwich Toma Salame,almacen,7000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/sandwich-toma-salame.webp
Serranas Sandwich Tripack 3 X 112 G,almacen,1800,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/serranas-sandwich-tripack-3-x-112-g.webp
Tallarines Al Uso Nostro,almacen,3500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tallarines-al-uso-nostro.webp
Tarta De Acelga,almacen,8500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tarta-de-acelga.webp
Tarta De Cebolla 1/2,almacen,8500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tarta-de-cebolla-12.webp
Tarta De Choclo 1/2,almacen,8500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tarta-de-choclo-12.webp
Tarta De Jamon Y Queso 1/2,almacen,8500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tarta-de-jamon-y-queso-12.webp
Tarta De Pollo 1/2,almacen,9500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tarta-de-pollo-12.webp
Tiramisu,almacen,5500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tiramisu.webp
Tomate Perita Arcor X400 Gr,almacen,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/tomate-perita-arcor-x400-gr.webp
Yerba Rosamonte X500 Gr,almacen,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/yerba-rosamonte-x500-gr.webp
Aguila Taza X100gr,chocolates,3900,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/aguila-taza-x100gr.webp
Barra Cofler Block 45gr,chocolates,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/barra-cofler-block-45gr.webp
Barra Rockelts Chocolate X44 Gr,chocolates,1500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/barra-rockelts-chocolate-x44-gr.webp
Block X 38gr,chocolates,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/block-x-38gr.webp
Blockazo X 1kg,chocolates,24000,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/blockazo-x-1kg.webp
Bon O Bon Leche X 30u,chocolates,413,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/bon-o-bon-leche-x-30u.webp
Choc Arcor 50% Cacao X80gr,chocolates,2200,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/choc-arcor-50-cacao-x80gr.webp
Choc Arcor Blanco/mani X80 Gr,chocolates,2500,https://upfnswxvjbbhffsildji.supabase.co/storage/v1/object/public/toma-images/comida/choc-arcor-blancomani-x80-gr.webp
